Name,Year_of_Manufacture,Kilometers_Driven,Fuel_Type,Transmission,Price,Location,Number_of_owners
2021 KIA SONET,2021,50.29k km,Diesel,Auto,₹8.01 lakh,"Mulund West, Mumbai ",2
2022 KIA CARENS,2022,39.35k km,Petrol,Manual,₹9.45 lakh,"Goregaon, Mumbai",1
2020 KIA SELTOS,2020,65.79k km,Diesel,Auto,₹11.63 lakh,"Mulund West, Mumbai ",1
2023 KIA CARENS,2023,10.22k km,Petrol,Manual,₹10.73 lakh,"Seawood
",1
2020 KIA SONET,2020,60.73k km,Petrol,Manual,₹8.08 lakh,Thakur Village Kandivali E Mumbai,1
2023 KIA SELTOS,2023,14.97k km,Petrol,Manual,₹11.65 lakh,"Korum Mall, Thane West",1
2020 KIA SELTOS,2020,62.38k km,Petrol,Auto,₹9.21 lakh,"Goregaon, Mumbai",2
2019 KIA SELTOS,2019,43.29k km,Petrol,Auto,₹10.20 lakh,Thakur Village Kandivali E Mumbai,2
2020 KIA SELTOS,2020,61.13k km,Petrol,Auto,₹10.52 lakh,"Seawood
",1
2020 KIA SELTOS,2020,34.67k km,Petrol,Auto,₹11.47 lakh,"Regency Anantam, Dombivli East",1
2019 KIA SELTOS,2019,84.75k km,Petrol,Manual,₹7.55 lakh,"Korum Mall, Thane West",2
2023 KIA SONET,2023,9.94k km,Petrol,Auto,₹11.00 lakh,"Mulund West, Mumbai ",1
2020 KIA SELTOS,2020,34.02k km,Petrol,Manual,₹12.30 lakh,"Mulund West, Mumbai ",1
2019 KIA SELTOS,2019,45.33k km,Petrol,Auto,₹10.96 lakh,"Regency Anantam, Dombivli East",1
2021 KIA SELTOS,2021,76.83k km,Petrol,Auto,₹12.66 lakh,Thakur Village Kandivali E Mumbai,1
2020 KIA SELTOS,2020,36.95k km,Petrol,Auto,₹11.94 lakh,"Goregaon, Mumbai",1
2022 KIA SELTOS,2022,67.36k km,Petrol,Manual,₹10.65 lakh,"Seawood
",1
2022 KIA CARENS,2022,64.51k km,Diesel,Manual,₹11.79 lakh,Avachit Pada Bhiwandi,1
2025 KIA SONET,2025,832 km,Petrol,Manual,₹9.90 lakh,Mulund West Mumbai Maharashtra,1
2023 KIA SELTOS,2023,43.73k km,Petrol,Manual,₹8.44 lakh,Nerul Navi Mumbai Maharashtra,1
